word,status,confidence,score,page,reason,answer_candidate,hint,sort_order
блек,needs_review,high,75,91,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
блеф,needs_review,high,87,91,inflection-after-comma|lowercase-entry|previous-line-closed,yes,,
блуд,needs_review,high,75,93,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
блуз,needs_review,high,75,93,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бмча,needs_review,high,75,862,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
боба,needs_review,high,85,93,grammar-marker|lowercase-entry|previous-line-closed,,,
боби,needs_review,high,77,93,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бова,needs_review,high,75,93,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бога,needs_review,high,75,94,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бого,needs_review,high,77,95,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
боди,needs_review,high,77,96,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
боза,needs_review,high,75,97,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бокс,needs_review,high,75,98,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бора,needs_review,high,75,100,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бофл,needs_review,high,75,102,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
боца,needs_review,high,75,102,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
боја,needs_review,high,75,97,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
боља,needs_review,high,85,99,grammar-marker|lowercase-entry|previous-line-closed,,,
боћа,needs_review,high,75,102,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брак,needs_review,high,75,103,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брат,needs_review,high,75,104,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брдо,needs_review,high,75,106,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
брзо,needs_review,high,75,107,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брид,needs_review,high,75,108,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брик,needs_review,high,75,109,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брис,needs_review,high,75,109,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бриџ,needs_review,high,75,109,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брка,needs_review,high,85,109,grammar-marker|lowercase-entry|previous-line-closed,,,
брко,needs_review,high,87,110,inflection-after-comma|lowercase-entry|previous-line-closed,,,
броћ,needs_review,high,75,112,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брст,needs_review,high,75,112,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брус,needs_review,high,75,112,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брух,needs_review,high,75,113,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бруј,needs_review,high,85,112,grammar-marker|lowercase-entry|previous-line-closed,,,
брља,needs_review,high,75,110,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брња,needs_review,high,75,110,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
брњо,needs_review,high,77,110,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бсми,needs_review,high,77,879,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бсни,needs_review,high,77,879,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
буба,needs_review,high,75,113,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бува,needs_review,high,75,114,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
бука,needs_review,high,75,116,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
буки,needs_review,high,75,116,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
була,needs_review,high,75,116,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
буна,needs_review,high,75,117,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
бунт,needs_review,high,75,118,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
буре,needs_review,high,77,118,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
буха,needs_review,high,85,120,grammar-marker|lowercase-entry|previous-line-closed,,,
буца,needs_review,high,75,120,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
буцо,needs_review,high,77,120,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
буша,needs_review,high,75,120,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
буља,needs_review,high,75,117,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
буџа,needs_review,high,75,120,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вага,needs_review,high,75,121,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
ваза,needs_review,high,75,122,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вазм,needs_review,high,77,122,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
валс,needs_review,high,85,123,grammar-marker|lowercase-entry|previous-line-closed,,,
вамп,needs_review,high,85,124,grammar-marker|lowercase-entry|previous-line-closed,,,
веза,needs_review,high,75,129,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вена,needs_review,high,75,133,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
вече,needs_review,high,85,138,grammar-marker|lowercase-entry|previous-line-closed,,,
вења,needs_review,high,75,133,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
виду,needs_review,high,85,650,grammar-marker|lowercase-entry|previous-line-closed,,,
виза,needs_review,high,75,141,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вика,needs_review,high,75,142,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вила,needs_review,high,75,143,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
виме,needs_review,high,77,143,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вино,needs_review,high,75,143,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
вист,needs_review,high,75,147,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
више,needs_review,high,75,148,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
виши,needs_review,high,77,150,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вија,needs_review,high,75,142,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
влак,needs_review,high,75,151,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
влас,needs_review,high,75,151,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
влат,needs_review,high,75,152,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
воал,needs_review,high,87,152,inflection-after-comma|lowercase-entry|previous-line-closed,,,
вода,needs_review,high,75,152,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
воду,needs_review,high,87,1216,inflection-after-comma|lowercase-entry|previous-line-closed,,,
вожд,needs_review,high,75,156,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
воза,needs_review,high,75,156,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вока,needs_review,high,75,157,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
воко,needs_review,high,77,157,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
волт,needs_review,high,75,158,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вођа,needs_review,high,75,155,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
воља,needs_review,high,75,159,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
враг,needs_review,high,75,160,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
врат,needs_review,high,75,160,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
врба,needs_review,high,75,162,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
врка,needs_review,high,75,165,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
врли,needs_review,high,87,165,inflection-after-comma|lowercase-entry|previous-line-closed,,,
врло,needs_review,high,75,165,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
врца,needs_review,high,85,168,grammar-marker|lowercase-entry|previous-line-closed,,,
вуга,needs_review,high,75,169,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вуна,needs_review,high,75,170,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вуча,needs_review,high,75,171,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
вуче,needs_review,high,77,171,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
газа,needs_review,high,75,173,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
гака,needs_review,high,75,174,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гама,needs_review,high,75,176,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гаус,needs_review,high,75,179,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гаља,needs_review,high,85,176,grammar-marker|lowercase-entry|previous-line-closed,,,
гваш,needs_review,high,75,179,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
геак,needs_review,high,75,180,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гема,needs_review,high,75,181,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гест,needs_review,high,75,183,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
геја,needs_review,high,75,180,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гејо,needs_review,high,77,180,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
геџа,needs_review,high,77,184,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гипс,needs_review,high,75,185,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гира,needs_review,high,75,185,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гихт,needs_review,high,75,185,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гица,needs_review,high,85,185,grammar-marker|lowercase-entry|previous-line-closed,,,
глад,needs_review,high,75,188,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
глас,needs_review,high,75,189,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
глеђ,needs_review,high,75,191,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
глиб,needs_review,high,75,191,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гнус,needs_review,high,75,196,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
голо,needs_review,high,85,200,grammar-marker|lowercase-entry|previous-line-closed,,,
голф,needs_review,high,75,201,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гонг,needs_review,high,75,202,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гора,needs_review,high,75,203,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
горе,needs_review,high,75,203,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гори,needs_review,high,77,203,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
госа,needs_review,high,77,205,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гоља,needs_review,high,75,201,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гољо,needs_review,high,77,201,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
град,needs_review,high,75,208,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
грак,needs_review,high,75,209,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грал,needs_review,high,75,209,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грам,needs_review,high,75,209,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грах,needs_review,high,75,212,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грба,needs_review,high,75,212,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грбо,needs_review,high,77,213,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гриз,needs_review,high,75,215,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грил,needs_review,high,75,215,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грип,needs_review,high,77,215,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грла,needs_review,high,75,216,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грле,needs_review,high,77,216,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
грло,needs_review,high,75,216,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
грог,needs_review,high,75,218,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
губа,needs_review,high,75,223,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гуза,needs_review,high,75,225,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гука,needs_review,high,75,225,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гуса,needs_review,high,75,227,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
густ,needs_review,high,75,227,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гуша,needs_review,high,75,228,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гјтг,needs_review,high,75,224,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
гњат,needs_review,high,75,196,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дада,needs_review,high,75,231,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дажд,needs_review,high,85,231,grammar-marker|lowercase-entry|previous-line-closed,,,
дама,needs_review,high,75,233,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
дара,needs_review,high,75,234,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
даса,needs_review,high,75,235,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дата,needs_review,high,75,235,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дача,needs_review,high,75,236,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дању,needs_review,high,75,234,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
даћа,needs_review,high,75,236,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
деби,needs_review,high,77,244,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дека,needs_review,high,75,248,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
деко,needs_review,high,77,249,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дела,needs_review,high,75,250,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
депо,needs_review,high,77,256,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дерт,needs_review,high,75,258,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
деци,needs_review,high,75,263,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
деша,needs_review,high,75,263,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дива,needs_review,high,75,263,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
дина,needs_review,high,75,269,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
диња,needs_review,high,75,270,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
длан,needs_review,high,75,276,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
доза,needs_review,high,75,285,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дона,needs_review,high,75,293,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дора,needs_review,high,75,295,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
доро,needs_review,high,77,295,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
доља,needs_review,high,75,290,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
доњи,needs_review,high,77,293,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
драж,needs_review,high,75,303,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
драм,needs_review,high,75,304,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
драч,needs_review,high,75,304,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дрво,needs_review,high,77,305,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
дрил,needs_review,high,75,309,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
друг,needs_review,high,75,311,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дуал,needs_review,high,77,313,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дубл,needs_review,high,75,314,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дуга,needs_review,high,85,315,grammar-marker|lowercase-entry|previous-line-closed,yes,,
дуго,needs_review,high,75,315,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дуда,needs_review,high,75,317,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дуел,needs_review,high,77,317,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дует,needs_review,high,77,317,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дужд,needs_review,high,85,317,grammar-marker|lowercase-entry|previous-line-closed,,,
дукс,needs_review,high,75,318,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дума,needs_review,high,75,318,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,yes,,
дупе,needs_review,high,77,318,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
дуља,needs_review,high,75,318,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ебан,needs_review,high,85,325,grammar-marker|lowercase-entry|previous-line-closed,,,
евин,needs_review,high,79,326,inflection-after-comma|previous-line-closed,,,
евро,needs_review,high,85,326,grammar-marker|lowercase-entry|previous-line-closed,,,
егал,needs_review,high,75,327,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
едем,needs_review,high,77,329,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
еден,needs_review,high,75,329,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
езан,needs_review,high,87,329,inflection-after-comma|lowercase-entry|previous-line-closed,,,
елан,needs_review,high,77,335,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
елем,needs_review,high,75,337,grammar-marker|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
емаљ,needs_review,high,85,338,grammar-marker|lowercase-entry|previous-line-closed,,,
емир,needs_review,high,87,339,inflection-after-comma|lowercase-entry|previous-line-closed,,,
енти,needs_review,high,77,341,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ерар,needs_review,high,77,344,inflection-after-comma|lowercase-entry|previous-line-closed|ocr-noise-near-entry,,,
ерос,needs_review,high,85,344,grammar-marker|lowercase-entry|previous-line-closed,,,
